size,iterations,n_threads,time
12000,100,10,16.435033
12000,100,10,16.440105
12000,100,10,16.449138
12000,100,10,16.446361
15000,100,10,25.697506
15000,100,10,25.685019
15000,100,10,25.707559
15000,100,10,25.701364
15000,100,10,25.702866
15000,100,10,25.675811
15000,100,10,25.691611
15000,100,10,25.677342
15000,100,10,25.691338
15000,100,10,25.70514
5000,100,12,2.444705
5000,100,12,2.444779
5000,100,12,2.446533
5000,100,12,2.444838
5000,100,12,2.444953
5000,100,12,2.444029
5000,100,12,2.443438
5000,100,12,2.442957
5000,100,12,2.445595
5000,100,12,2.444676
8000,100,12,6.19707
8000,100,12,6.200754
8000,100,12,6.204978
8000,100,12,6.191414
8000,100,12,6.195645
8000,100,12,6.197378
8000,100,12,6.200061
8000,100,12,6.197277
8000,100,12,6.197223
8000,100,12,6.194124
12000,100,12,13.921145
12000,100,12,13.915207
12000,100,12,13.919677
12000,100,12,13.909372
12000,100,12,13.916713
12000,100,12,13.916442
12000,100,12,13.918729
12000,100,12,13.923337
12000,100,12,13.917757
12000,100,12,13.911478
15000,100,12,21.706516
15000,100,12,21.719427
15000,100,12,21.723702
15000,100,12,21.718895
15000,100,12,21.717057
15000,100,12,21.731742
15000,100,12,21.717913
15000,100,12,21.7247
15000,100,12,21.719158
15000,100,12,21.718016
500,50,2,0.068231
500,50,2,0.068197
500,50,2,0.068538
500,50,2,0.064498
500,50,2,0.064442
500,50,2,0.064475
500,50,2,0.067936
500,50,2,0.065649
500,50,2,0.063913
500,50,2,0.068411
1000,50,2,0.258988
1000,50,2,0.259925
1000,50,2,0.259064
1000,50,2,0.260057
1000,50,2,0.258028
1000,50,2,0.274254
1000,50,2,0.2584
1000,50,2,0.258909
1000,50,2,0.258677
1000,50,2,0.260432
2000,50,2,1.04592
2000,50,2,1.108378
2000,50,2,1.043133
2000,50,2,1.06797
2000,50,2,1.070968
2000,50,2,1.045638
2000,50,2,1.044652
2000,50,2,1.061106
2000,50,2,1.047124
2000,50,2,1.089004
3000,50,2,2.363808
3000,50,2,2.372456
3000,50,2,2.362155
3000,50,2,2.360907
3000,50,2,2.380209
3000,50,2,2.362451
3000,50,2,2.365954
3000,50,2,2.375243
3000,50,2,2.36351
3000,50,2,2.369395
500,100,2,0.124523
500,100,2,0.120367
500,100,2,0.121572
500,100,2,0.121056
500,100,2,0.127383
500,100,2,0.120576
500,100,2,0.121378
500,100,2,0.128123
500,100,2,0.120463
500,100,2,0.128593
1000,100,2,0.50854
1000,100,2,0.48611
1000,100,2,0.486127
1000,100,2,0.485759
1000,100,2,0.487666
1000,100,2,0.501884
1000,100,2,0.486216
1000,100,2,0.4852
1000,100,2,0.487922
1000,100,2,0.512422
2000,100,2,1.970178
2000,100,2,1.972174
2000,100,2,1.973617
2000,100,2,1.965116
2000,100,2,1.960052
2000,100,2,2.017926
2000,100,2,1.979617
2000,100,2,1.968143
2000,100,2,1.970973
2000,100,2,1.964263
3000,100,2,4.46697
3000,100,2,4.469916
3000,100,2,4.466607
3000,100,2,4.4485
3000,100,2,4.47839
3000,100,2,4.490857
3000,100,2,4.459075
3000,100,2,4.468159
3000,100,2,4.460588
3000,100,2,4.474456
500,200,2,0.228083
500,200,2,0.233839
500,200,2,0.226942
500,200,2,0.228333
500,200,2,0.22785
500,200,2,0.227979
500,200,2,0.240591
500,200,2,0.242581
500,200,2,0.229204
500,200,2,0.240178
1000,200,2,0.922161
1000,200,2,0.923302
1000,200,2,0.920133
1000,200,2,0.946926
1000,200,2,0.922978
1000,200,2,0.923388
1000,200,2,0.921337
