size,iterations,n_threads,time
1000,100,2,0.505833
1000,100,2,0.506992
1000,100,2,0.508658
1000,100,2,0.507369
1000,100,2,0.507695
1000,100,2,0.506676
1000,100,2,0.505173
1000,100,2,0.506901
1000,100,2,0.506883
1000,100,2,0.508776
1000,100,2,0.507219
1000,100,2,0.508297
1000,100,2,0.505284
1000,100,2,0.505941
1000,100,2,0.506817
1000,100,2,0.505992
1000,100,2,0.506507
1000,100,2,0.506419
1000,100,2,0.51599
2000,100,2,2.120674
2000,100,2,2.128352
2000,100,2,2.182729
2000,100,2,2.230092
2000,100,2,2.132186
2000,100,2,2.121959
2000,100,2,2.17266
2000,100,2,2.11919
2000,100,2,2.122471
2000,100,2,2.166918
2000,100,2,2.1269
2000,100,2,2.13455
2000,100,2,2.230045
2000,100,2,2.190219
2000,100,2,2.151065
2000,100,2,2.169238
2000,100,2,2.127147
2000,100,2,2.193435
2000,100,2,2.125425
2000,100,2,2.126125
3000,100,2,4.847764
3000,100,2,4.785415
3000,100,2,4.804845
3000,100,2,4.823776
3000,100,2,4.792416
3000,100,2,4.822297
3000,100,2,4.791088
3000,100,2,4.785677
3000,100,2,4.788774
3000,100,2,4.804702
3000,100,2,4.822594
3000,100,2,4.786592
3000,100,2,4.797628
3000,100,2,4.814513
3000,100,2,4.784362
3000,100,2,4.784239
3000,100,2,4.788973
3000,100,2,4.79656
3000,100,2,4.781381
3000,100,2,4.804426
500,200,2,0.24634
500,200,2,0.246405
500,200,2,0.246796
500,200,2,0.248545
500,200,2,0.246376
500,200,2,0.245119
500,200,2,0.249554
500,200,2,0.252011
500,200,2,0.248923
500,200,2,0.249767
500,200,2,0.247101
500,200,2,0.247721
500,200,2,0.245613
500,200,2,0.260845
500,200,2,0.246515
500,200,2,0.246191
500,200,2,0.248363
500,200,2,0.249757
500,200,2,0.246474
500,200,2,0.257223
1000,200,2,0.991309
1000,200,2,0.984382
1000,200,2,0.983343
1000,200,2,0.978734
1000,200,2,0.983899
1000,200,2,1.024685
1000,200,2,0.984599
1000,200,2,0.98819
1000,200,2,0.998343
1000,200,2,0.98928
1000,200,2,0.981376
1000,200,2,1.007327
1000,200,2,0.996488
1000,200,2,0.995292
1000,200,2,1.039192
1000,200,2,1.013012
1000,200,2,0.981122
1000,200,2,1.045863
1000,200,2,0.979723
1000,200,2,1.003208
2000,200,2,4.12764
2000,200,2,4.14004
2000,200,2,4.187418
2000,200,2,4.230202
2000,200,2,4.133445
2000,200,2,4.135017
2000,200,2,4.197969
2000,200,2,4.133188
2000,200,2,4.196181
2000,200,2,4.138221
2000,200,2,4.139768
2000,200,2,4.155484
2000,200,2,4.139895
2000,200,2,4.140144
2000,200,2,4.151033
2000,200,2,4.130821
2000,200,2,4.189327
2000,200,2,4.13231
2000,200,2,4.178851
2000,200,2,4.154324
3000,200,2,9.350369
3000,200,2,9.444232
3000,200,2,9.349355
3000,200,2,9.407159
3000,200,2,9.388747
3000,200,2,9.315335
3000,200,2,9.45437
3000,200,2,9.332624
3000,200,2,9.370233
3000,200,2,9.385205
3000,200,2,9.400913
3000,200,2,9.345698
3000,200,2,9.360611
3000,200,2,9.344354
3000,200,2,9.369411
3000,200,2,9.339323
3000,200,2,9.417188
3000,200,2,9.332733
3000,200,2,9.355048
3000,200,2,9.385689
500,500,2,0.590543
500,500,2,0.591117
500,500,2,0.593041
500,500,2,0.591308
500,500,2,0.594421
500,500,2,0.593211
500,500,2,0.59128
500,500,2,0.616376
500,500,2,0.594605
500,500,2,0.608755
500,500,2,0.615757
500,500,2,0.591241
500,500,2,0.627378
500,500,2,0.595638
500,500,2,0.592767
500,500,2,0.592365
500,500,2,0.627531
500,500,2,0.596135
500,500,2,0.593065
500,500,2,0.591717
1000,500,2,2.367248
1000,500,2,2.402555
1000,500,2,2.380676
1000,500,2,2.389495
1000,500,2,2.388502
1000,500,2,2.371419
1000,500,2,2.361616
1000,500,2,2.37263
1000,500,2,2.367565
1000,500,2,2.359451
1000,500,2,2.361664
1000,500,2,2.377372
1000,500,2,2.367837
1000,500,2,2.358389
1000,500,2,2.358795
1000,500,2,2.366325
1000,500,2,2.369306
1000,500,2,2.376076
1000,500,2,2.375052
1000,500,2,2.358142
2000,500,2,10.157792
2000,500,2,10.224531
2000,500,2,10.109856
2000,500,2,10.108737
2000,500,2,10.110848
2000,500,2,10.133088
2000,500,2,10.136917
2000,500,2,10.111977
2000,500,2,10.149336
2000,500,2,10.109536
2000,500,2,10.112945
2000,500,2,10.187007
2000,500,2,10.099963
2000,500,2,10.124979
2000,500,2,10.101774
2000,500,2,10.11539
2000,500,2,10.135932
2000,500,2,10.143147
2000,500,2,10.1565
2000,500,2,10.186126
3000,500,2,22.852766
3000,500,2,22.833355
3000,500,2,22.846335
3000,500,2,22.867054
3000,500,2,22.820695
3000,500,2,22.934787
3000,500,2,22.839373
3000,500,2,22.844944
3000,500,2,22.837738
3000,500,2,22.86258
3000,500,2,22.824312
3000,500,2,22.839795
3000,500,2,22.836687
3000,500,2,22.797717
3000,500,2,22.804273
3000,500,2,22.883792
3000,500,2,22.822035
3000,500,2,22.945493
3000,500,2,22.848036
3000,500,2,22.908084
500,50,4,0.037814
500,50,4,0.037648
500,50,4,0.037479
500,50,4,0.037716
500,50,4,0.037051
500,50,4,0.037702
500,50,4,0.036838
500,50,4,0.037529
500,50,4,0.036894
500,50,4,0.037718
500,50,4,0.036839
500,50,4,0.0368
500,50,4,0.037744
500,50,4,0.037594
500,50,4,0.037617
500,50,4,0.036896
500,50,4,0.036773
500,50,4,0.036587
500,50,4,0.036875
500,50,4,0.036588
1000,50,4,0.149748
1000,50,4,0.147097
1000,50,4,0.145567
1000,50,4,0.145695
1000,50,4,0.14942
1000,50,4,0.145989
1000,50,4,0.149731
1000,50,4,0.145561
1000,50,4,0.14638
1000,50,4,0.145935
1000,50,4,0.145932
1000,50,4,0.149675
1000,50,4,0.14574
1000,50,4,0.14538
1000,50,4,0.149852
1000,50,4,0.145987
1000,50,4,0.145442
1000,50,4,0.145654
1000,50,4,0.149473
1000,50,4,0.145451
2000,50,4,0.618903
2000,50,4,0.616474
2000,50,4,0.617507
2000,50,4,0.622696
2000,50,4,0.617919
2000,50,4,0.619219
2000,50,4,0.616669
2000,50,4,0.631379
2000,50,4,0.618656
2000,50,4,0.620374
2000,50,4,0.619753
2000,50,4,0.61749
2000,50,4,0.63355
2000,50,4,0.625163
2000,50,4,0.621042
2000,50,4,0.616659
2000,50,4,0.617313
2000,50,4,0.616887
2000,50,4,0.619632
2000,50,4,0.619966
3000,50,4,1.395322
3000,50,4,1.392401
3000,50,4,1.395047
3000,50,4,1.408407
3000,50,4,1.393597
3000,50,4,1.398082
3000,50,4,1.393658
3000,50,4,1.396089
3000,50,4,1.400275
3000,50,4,1.392273
3000,50,4,1.391953
3000,50,4,1.391139
3000,50,4,1.392875
3000,50,4,1.391046
3000,50,4,1.393023
3000,50,4,1.390572
3000,50,4,1.396468
3000,50,4,1.39622
3000,50,4,1.397451
3000,50,4,1.390609
500,100,4,0.070179
500,100,4,0.070048
500,100,4,0.07023
500,100,4,0.070123
500,100,4,0.070514
500,100,4,0.070215
500,100,4,0.070559
500,100,4,0.071497
500,100,4,0.070442
500,100,4,0.070737
500,100,4,0.070869
500,100,4,0.072378
500,100,4,0.070508
500,100,4,0.07201
500,100,4,0.070383
500,100,4,0.070506
500,100,4,0.07033
500,100,4,0.07044
500,100,4,0.070279
500,100,4,0.070453
1000,100,4,0.283534
1000,100,4,0.28007
1000,100,4,0.285534
1000,100,4,0.282007
1000,100,4,0.280262
1000,100,4,0.278905
1000,100,4,0.279708
1000,100,4,0.278898
1000,100,4,0.287004
1000,100,4,0.279137
1000,100,4,0.279482
1000,100,4,0.278992
1000,100,4,0.279446
1000,100,4,0.279151
1000,100,4,0.278476
1000,100,4,0.278854
1000,100,4,0.279564
1000,100,4,0.278966
1000,100,4,0.278985
1000,100,4,0.281518
2000,100,4,1.195829
2000,100,4,1.189638
2000,100,4,1.191305
2000,100,4,1.192233
2000,100,4,1.190566
2000,100,4,1.217979
2000,100,4,1.193548
2000,100,4,1.1889
2000,100,4,1.187642
2000,100,4,1.189723
2000,100,4,1.189399
2000,100,4,1.206344
2000,100,4,1.196141
2000,100,4,1.196185
2000,100,4,1.192781
2000,100,4,1.194945
2000,100,4,1.204486
2000,100,4,1.202491
2000,100,4,1.19617
2000,100,4,1.190028
3000,100,4,2.706069
3000,100,4,2.694781
3000,100,4,2.688906
3000,100,4,2.694022
3000,100,4,2.694548
3000,100,4,2.690625
3000,100,4,2.693787
3000,100,4,2.698758
3000,100,4,2.698445
3000,100,4,2.693563
3000,100,4,2.688756
3000,100,4,2.715805
3000,100,4,2.702095
3000,100,4,2.682095
3000,100,4,2.69866
3000,100,4,2.701373
3000,100,4,2.690572
3000,100,4,2.683383
3000,100,4,2.685818
3000,100,4,2.686446
500,200,4,0.139469
500,200,4,0.139424
500,200,4,0.136769
500,200,4,0.13591
500,200,4,0.136135
500,200,4,0.135549
500,200,4,0.135614
500,200,4,0.135077
500,200,4,0.136026
500,200,4,0.135499
500,200,4,0.135518
500,200,4,0.135904
500,200,4,0.136357
500,200,4,0.139179
500,200,4,0.139541
500,200,4,0.137722
500,200,4,0.136279
500,200,4,0.139447
500,200,4,0.13741
500,200,4,0.137397
1000,200,4,0.550613
1000,200,4,0.555124
1000,200,4,0.542054
1000,200,4,0.542108
1000,200,4,0.544762
1000,200,4,0.538343
1000,200,4,0.540794
1000,200,4,0.538997
1000,200,4,0.539566
1000,200,4,0.547543
1000,200,4,0.540937
1000,200,4,0.538819
1000,200,4,0.538495
1000,200,4,0.539308
1000,200,4,0.53889
1000,200,4,0.53819
1000,200,4,0.547964
1000,200,4,0.5386
1000,200,4,0.537318
1000,200,4,0.539371
2000,200,4,2.317457
2000,200,4,2.32942
2000,200,4,2.318418
2000,200,4,2.307404
2000,200,4,2.317044
2000,200,4,2.310226
2000,200,4,2.31526
2000,200,4,2.320752
2000,200,4,2.319312
2000,200,4,2.301858
2000,200,4,2.310911
2000,200,4,2.307705
2000,200,4,2.31034
2000,200,4,2.311872
2000,200,4,2.313378
2000,200,4,2.312165
2000,200,4,2.307868
2000,200,4,2.316315
2000,200,4,2.316467
2000,200,4,2.310698
3000,200,4,5.23985
3000,200,4,5.23565
3000,200,4,5.224173
3000,200,4,5.237015
3000,200,4,5.228718
3000,200,4,5.22053
3000,200,4,5.230534
3000,200,4,5.229078
3000,200,4,5.220532
3000,200,4,5.230564
3000,200,4,5.238774
3000,200,4,5.225713
3000,200,4,5.233045
3000,200,4,5.22681
3000,200,4,5.233748
3000,200,4,5.260697
3000,200,4,5.238949
3000,200,4,5.241694
3000,200,4,5.248944
3000,200,4,5.260556
500,500,4,0.327635
500,500,4,0.326135
500,500,4,0.334908
500,500,4,0.327635
500,500,4,0.32788
500,500,4,0.327785
500,500,4,0.32628
500,500,4,0.330279
500,500,4,0.335501
500,500,4,0.325758
500,500,4,0.33506
500,500,4,0.326976
500,500,4,0.335981
500,500,4,0.326119
500,500,4,0.32657
500,500,4,0.332448
500,500,4,0.325809
500,500,4,0.326158
500,500,4,0.327903
500,500,4,0.335669
1000,500,4,1.306693
1000,500,4,1.320366
1000,500,4,1.303032
1000,500,4,1.311101
1000,500,4,1.303107
1000,500,4,1.30149
1000,500,4,1.30897
1000,500,4,1.300093
1000,500,4,1.315761
1000,500,4,1.299645
1000,500,4,1.302482
