size,iterations,nodes,omp_threads,time
2000,100,2,4,2.005412
2000,100,2,4,2.005552
2000,100,2,4,2.088956
2000,100,2,4,2.020319
2000,100,2,4,2.003185
2000,100,2,4,2.004653
2000,100,2,4,1.99618
2000,100,2,4,2.076816
2000,100,2,4,2.008148
3000,100,2,4,4.539162
3000,100,2,4,4.517402
3000,100,2,4,4.53819
3000,100,2,4,4.610228
3000,100,2,4,4.525511
3000,100,2,4,4.532844
3000,100,2,4,4.554201
3000,100,2,4,4.536672
3000,100,2,4,4.534158
3000,100,2,4,4.52636
500,200,2,4,0.235826
500,200,2,4,0.235091
500,200,2,4,0.234405
500,200,2,4,0.23435
500,200,2,4,0.235706
500,200,2,4,0.234564
500,200,2,4,0.235198
500,200,2,4,0.252839
500,200,2,4,0.23496
500,200,2,4,0.249082
1000,200,2,4,0.935189
1000,200,2,4,0.934732
1000,200,2,4,0.935239
1000,200,2,4,0.955566
1000,200,2,4,0.945343
1000,200,2,4,0.930926
1000,200,2,4,0.963872
1000,200,2,4,0.932545
1000,200,2,4,0.937403
1000,200,2,4,0.938715
2000,200,2,4,3.800411
2000,200,2,4,3.788629
2000,200,2,4,3.78612
2000,200,2,4,3.786366
2000,200,2,4,3.815798
2000,200,2,4,3.7943
2000,200,2,4,3.784774
2000,200,2,4,3.784529
2000,200,2,4,3.792196
2000,200,2,4,3.790149
3000,200,2,4,8.59109
3000,200,2,4,8.569671
3000,200,2,4,8.580464
3000,200,2,4,8.568009
3000,200,2,4,8.570415
3000,200,2,4,8.570388
3000,200,2,4,8.57161
3000,200,2,4,8.576919
3000,200,2,4,8.5731
3000,200,2,4,8.550337
500,500,2,4,0.544032
500,500,2,4,0.543161
500,500,2,4,0.57415
500,500,2,4,0.545513
500,500,2,4,0.5477
500,500,2,4,0.574693
500,500,2,4,0.545816
500,500,2,4,0.544209
500,500,2,4,0.548757
500,500,2,4,0.548428
1000,500,2,4,2.187064
1000,500,2,4,2.176588
1000,500,2,4,2.177362
1000,500,2,4,2.195774
1000,500,2,4,2.182531
1000,500,2,4,2.218894
1000,500,2,4,2.179068
1000,500,2,4,2.200016
1000,500,2,4,2.183188
1000,500,2,4,2.182788
2000,500,2,4,8.924259
2000,500,2,4,8.929162
2000,500,2,4,8.946601
2000,500,2,4,8.91049
2000,500,2,4,8.957678
2000,500,2,4,8.938444
2000,500,2,4,8.925158
2000,500,2,4,8.945488
2000,500,2,4,8.962312
2000,500,2,4,8.957976
3000,500,2,4,20.204234
3000,500,2,4,20.230164
3000,500,2,4,20.226018
3000,500,2,4,20.19798
3000,500,2,4,20.196444
3000,500,2,4,20.25391
3000,500,2,4,20.281646
3000,500,2,4,20.253522
3000,500,2,4,20.247988
3000,500,2,4,20.217743
500,50,4,4,0.012713
500,50,4,4,0.01264
500,50,4,4,0.012574
500,50,4,4,0.012638
500,50,4,4,0.012858
500,50,4,4,0.012664
500,50,4,4,0.012606
500,50,4,4,0.01295
500,50,4,4,0.012891
500,50,4,4,0.01267
1000,50,4,4,0.04654
1000,50,4,4,0.045895
1000,50,4,4,0.045085
1000,50,4,4,0.045006
1000,50,4,4,0.044801
1000,50,4,4,0.045007
1000,50,4,4,0.045834
1000,50,4,4,0.045214
1000,50,4,4,0.044943
